#d_l d_l_hi d_l_lo omega
1.55 0.40 0.60 150
0.74 0.14 0.17 21
3.55 2.27 1.66 1500
4.45 2.48 2.12 730
2.88 1.37 1.38 1200
2.20 1.58 1.16 28000
0.16 0.07 0.07 10000
0.37 0.18 0.16 1300
1.45 0.69 0.63 94
1.43 0.55 0.55 220
2.06 0.88 0.80 520
4.13 2.65 2.17 3000
1.86 1.62 0.84 470
2.53 1.83 0.92 860
3.92 2.19 1.95 1000
1.24 0.40 0.57 550
2.49 2.48 1.24 3700
2.69 1.79 1.12 690
2.81 1.68 1.31 7200
0.89 0.56 0.37 1200
2.06 0.76 0.73 46
4.42 2.59 1.93 650
0.77 0.38 0.37 1300
0.88 0.33 0.39 14000
3.94 2.59 2.00 2900
0.79 0.69 0.32 460
3.30 1.54 1.50 830
0.87 0.26 0.37 400
3.30 2.39 1.72 3400
3.27 1.95 1.58 1500
0.24 0.04 0.05 19
2.13 0.66 0.93 520
1.60 0.62 0.60 660
3.77 3.27 2.22 4700
1.46 1.03 0.58 11000
1.62 0.71 0.61 400
0.57 0.22 0.22 360
2.13 3.65 1.05 2200
0.76 0.36 0.32 1700
0.99 0.50 0.47 2500
1.15 0.43 0.48 640
1.29 1.13 0.65 1600
1.37 1.15 0.62 3600
1.62 0.74 0.74 1400
3.4 3.1 1.9 980
0.79 0.26 0.33 850
1.8 1.7 1.1 3700
0.65 0.19 0.25 350
1.93 0.89 0.86 530
0.34 0.12 0.13 490
0.55 0.25 0.16 1500
3.0 1.7 1.7 2000
4.3 2.1 1.9 1100
0.27 0.12 0.11 7900
1.25 0.43 0.46 4300
0.29 0.15 0.10 370
3.4 2.1 1.8 2600
0.90 0.29 0.38 130
0.41 0.15 0.16 170
2.23 1.00 0.85 30
4.1 4.4 1.9 2000
3.4 1.9 1.8 730
0.94 0.43 0.34 1800
3.8 3.0 2.0 2900
3.4 1.7 1.5 700
6.0 4.8 3.1 3000
4.0 2.8 2.2 3200
1.71 0.49 0.64 50
1.15 0.51 0.53 370
1.48 1.02 0.70 6000
2.1 1.7 1.1 4600
5.4 2.7 2.6 2000
1.17 0.28 0.40 35
1.12 0.47 0.44 190
3.6 7.0 2.0 6500
